,model_type,augmentation_type,scheduler_type,epoch_list,learning_rat,train_accuracy,train_losses,test_accuracy,test_losses
0,From_zero,Optimal,,1,0.01,0.10099259968501682,3.65026151040756,0.10637626262626262,3.659268658570569
1,From_zero,Optimal,,2,0.01,0.11023068938363519,3.443086451318066,0.10637626262626262,3.5656355944546787
2,From_zero,Optimal,,3,0.01,0.10966134834275897,3.1862893562650054,0.1362058080808081,3.2925570107469655
3,From_zero,Optimal,,4,0.01,0.17251592812656596,2.919459531400922,0.16256313131313133,3.1604506836997137
4,From_zero,Optimal,,5,0.01,0.2816001055909514,2.6039266617537584,0.258364898989899,3.0130035738752348
5,From_zero,Optimal,,6,0.01,0.3756163200658601,2.297643809339365,0.32370580808080807,2.4401115528260817
6,From_zero,Optimal,,7,0.01,0.4365704864342473,2.0503787557110518,0.2952967171717172,2.708586180149907
7,From_zero,Optimal,,8,0.01,0.5022259109456654,1.8394513411292863,0.45549242424242425,2.0191182888517476
8,From_zero,Optimal,,9,0.01,0.5645379948457299,1.642528881152124,0.5448232323232324,1.7283174594243367
9,From_zero,Optimal,,10,0.01,0.606571918175961,1.4928703911960386,0.5798611111111112,1.5641554848413275
10,From_zero,Optimal,,11,0.01,0.6368801005798553,1.3677874738472517,0.5885416666666666,1.548152763283614
11,From_zero,Optimal,,12,0.01,0.6608774339609134,1.2653122640593084,0.5986426767676768,1.4650424667681106
12,From_zero,Optimal,,13,0.01,0.6817864557233876,1.1786835417476804,0.6346275252525253,1.3582699085124816
13,From_zero,Optimal,,14,0.01,0.6935770724461306,1.1150808084479586,0.59375,1.5046729568881219
14,From_zero,Optimal,,15,0.01,0.7144558934068294,1.04592796522457,0.6628787878787878,1.276115844120281
15,From_zero,Optimal,,16,0.01,0.7344577725678287,0.984218842598028,0.6994949494949495,1.146635421297767
16,From_zero,Optimal,,17,0.01,0.7466163916529458,0.9483499360396872,0.7004419191919192,1.159185778161492
17,From_zero,Optimal,,18,0.01,0.7605904144892262,0.891135594860435,0.6672979797979798,1.2570381532564308
18,From_zero,Optimal,,19,0.01,0.7741136623953039,0.8462658693696734,0.7214330808080808,1.0939340088704619
19,From_zero,Optimal,,20,0.01,0.7852935517932566,0.7972473224958478,0.7387941919191919,1.0110058072540495
20,Feature_extractor,Optimal,,1,0.01,0.30038388574701125,3.2384649051849497,0.4408143939393939,2.9204420272750085
21,Feature_extractor,Optimal,,2,0.01,0.5311761758178825,2.4474668055122075,0.5678661616161617,2.2730473243828975
22,Feature_extractor,Optimal,,3,0.01,0.5936079443768344,2.02591378251538,0.6122159090909091,1.9058671166198422
23,Feature_extractor,Optimal,,4,0.01,0.6228658100078747,1.7857183847885465,0.6336805555555556,1.7204311375666146
24,Feature_extractor,Optimal,,5,0.01,0.6444571461808289,1.6367386371287715,0.6493055555555556,1.6006452946951895
25,Feature_extractor,Optimal,,6,0.01,0.6598673849237598,1.5293145018373515,0.6619318181818182,1.5117722773792768
26,Feature_extractor,Optimal,,7,0.01,0.6690070423795548,1.4530629237145836,0.6701388888888888,1.4456176161766052
27,Feature_extractor,Optimal,,8,0.01,0.6804218269024268,1.384781986605132,0.6794507575757576,1.3912259689485185
28,Feature_extractor,Optimal,,9,0.01,0.6890872199155272,1.3344908801749285,0.6852904040404041,1.345900783033082
29,Feature_extractor,Optimal,,10,0.01,0.694808594029637,1.28828735226627,0.6916035353535354,1.3079347568328934
30,Feature_extractor,Optimal,,11,0.01,0.7043061869138808,1.2513393059568114,0.6950757575757576,1.2733386502121433
31,Feature_extractor,Optimal,,12,0.01,0.7120644373255065,1.2127177764755148,0.6980744949494949,1.2427319682607747
32,Feature_extractor,Optimal,,13,0.01,0.7171404091201947,1.187335672597177,0.703125,1.216079370542006
33,Feature_extractor,Optimal,,14,0.01,0.7220597841649367,1.1580693013803407,0.70864898989899,1.1907244710007099
34,Feature_extractor,Optimal,,15,0.01,0.728050728398597,1.1358449636067887,0.7116477272727273,1.1704177194171481
35,Feature_extractor,Optimal,,16,0.01,0.7292005959624883,1.1133398012823412,0.7154356060606061,1.1505555907885234
36,Feature_extractor,Optimal,,17,0.01,0.735003624096213,1.0905253166194566,0.719854797979798,1.1331163124002592
37,Feature_extractor,Optimal,,18,0.01,0.7368425173598683,1.0726965465399896,0.7245896464646465,1.1162504051068816
38,Feature_extractor,Optimal,,19,0.01,0.7445694484215047,1.0500659737003943,0.7280618686868687,1.1019864871044351
39,Feature_extractor,Optimal,,20,0.01,0.7424822374543631,1.0332679071801198,0.7294823232323232,1.0885057494495853
40,Fine_tuning,Optimal,,1,0.01,0.43950331985109886,2.216686895841074,0.6428345959595959,1.4553929778060528
41,Fine_tuning,Optimal,,2,0.01,0.7844233212828406,0.8810831029862816,0.8301767676767676,0.6879354871884741
42,Fine_tuning,Optimal,,3,0.01,0.8586557734984609,0.5620709830756792,0.865530303030303,0.538338069211353
43,Fine_tuning,Optimal,,4,0.01,0.8929247351277829,0.4197011415289479,0.8899936868686869,0.4368427413882631
44,Fine_tuning,Optimal,,5,0.01,0.9141581358722886,0.33115464520506466,0.9021464646464646,0.3799396815399329
45,Fine_tuning,Optimal,,6,0.01,0.9297081931419572,0.2765469445672098,0.9113005050505051,0.3409871532760485
46,Fine_tuning,Optimal,,7,0.01,0.9425289927697044,0.2311533619060006,0.9094065656565656,0.33836171542755283
47,Fine_tuning,Optimal,,8,0.01,0.9493588481637912,0.1974204776556471,0.9239267676767676,0.30246788684767906
48,Fine_tuning,Optimal,,9,0.01,0.9567379107309041,0.17163332633055975,0.9226641414141414,0.3003331758175986
49,Fine_tuning,Optimal,,10,0.01,0.9630051363733982,0.15046487736422162,0.9248737373737373,0.29175358250586675
50,Fine_tuning,Optimal,,11,0.01,0.9688730403035293,0.13291863705881557,0.929135101010101,0.2852698678075515
51,Fine_tuning,Optimal,,12,0.01,0.973383026701983,0.11267169103774702,0.9285037878787878,0.27921674931139656
52,Fine_tuning,Optimal,,13,0.01,0.9763169786670485,0.09692803163520634,0.9321338383838383,0.27070054916119335
53,Fine_tuning,Optimal,,14,0.01,0.9799399563318777,0.08587628484227772,0.9330808080808081,0.2587236725546495
54,Fine_tuning,Optimal,,15,0.01,0.9827340897702055,0.07658065076282972,0.9330808080808081,0.2640982236280435
55,Fine_tuning,Optimal,,16,0.01,0.9867597447920395,0.06624760090751679,0.9392361111111112,0.2490605257564422
56,Fine_tuning,Optimal,,17,0.01,0.9866915133509915,0.06166732290100843,0.9348169191919192,0.26654902541294995
57,Fine_tuning,Optimal,,18,0.01,0.9897652838427947,0.052056265464174564,0.9384469696969697,0.2528529352781297
58,Fine_tuning,Optimal,,19,0.01,0.9898301596392011,0.047353438551102536,0.9378156565656566,0.2661286601914338
59,Fine_tuning,Optimal,,20,0.01,0.9918088714295941,0.04371054418889326,0.9404987373737373,0.24670636461520887
60,Fine_tuning,Optimal,ConstantLR,1,0.005,0.2779458085761329,2.771808525880872,0.4420770202020202,2.279632755000182
61,Fine_tuning,Optimal,ConstantLR,2,0.005,0.6477221884172096,1.554123005492198,0.72427398989899,1.1692347920904256
62,Fine_tuning,Optimal,ConstantLR,3,0.005,0.7719470345049753,0.9510777748828372,0.7934027777777778,0.829471695152196
63,Fine_tuning,Optimal,ConstantLR,4,0.005,0.8241955401245615,0.7144851840739688,0.8315972222222222,0.6574963940062908
64,Fine_tuning,Optimal,ConstantLR,5,0.01,0.8557934086190851,0.578144904893038,0.8551136363636364,0.5806675079193983
65,Fine_tuning,Optimal,ConstantLR,6,0.01,0.8785961325076956,0.47617956898358194,0.8683712121212122,0.5125281749801203
66,Fine_tuning,Optimal,ConstantLR,7,0.01,0.9020610369389361,0.37507701889656514,0.8950441919191919,0.4118745731885987
67,Fine_tuning,Optimal,ConstantLR,8,0.01,0.9220528491660104,0.3030006637284329,0.8958333333333334,0.37106695026159286
68,Fine_tuning,Optimal,ConstantLR,9,0.01,0.9362550558379269,0.24630264557214804,0.913510101010101,0.33075631609318235
69,Fine_tuning,Optimal,ConstantLR,10,0.01,0.9462336244541485,0.209146718270914,0.9195075757575758,0.30725487045040634
70,Fine_tuning,Optimal,ConstantLR,11,0.01,0.9573519937003364,0.17926821898359918,0.9122474747474747,0.3332007873539973
71,Fine_tuning,Optimal,ConstantLR,12,0.01,0.962813864628821,0.15348602292091304,0.9269255050505051,0.27984854936449216
72,Fine_tuning,Optimal,ConstantLR,13,0.01,0.9668361640060132,0.13218498504090256,0.9285037878787878,0.2725816559084136
73,Fine_tuning,Optimal,ConstantLR,14,0.01,0.9748091756747084,0.11233135586092045,0.9305555555555556,0.2806254686561949
74,Fine_tuning,Optimal,ConstantLR,15,0.01,0.9774836244541485,0.09960806469014118,0.9360795454545454,0.25832942244831963
75,Fine_tuning,Optimal,ConstantLR,16,0.01,0.9776782518433675,0.09115670498574405,0.9367108585858586,0.25148929823001825
76,Fine_tuning,Optimal,ConstantLR,17,0.01,0.984375,0.07300398010337587,0.9384469696969697,0.2593234892407752
77,Fine_tuning,Optimal,ConstantLR,18,0.01,0.9833515283842795,0.07042444899971048,0.9412878787878788,0.24795158487754038
78,Fine_tuning,Optimal,ConstantLR,19,0.01,0.9867496778581144,0.059058663752499366,0.9387626262626263,0.2506447986257498
79,Fine_tuning,Optimal,ConstantLR,20,0.01,0.98819596069869,0.053116013424056197,0.9379734848484849,0.24667422089612845
80,Fine_tuning,Optimal,StepLR,1,0.01,0.44338915634619513,2.2049661166803287,0.6530934343434344,1.4192904553028067
81,Fine_tuning,Optimal,StepLR,2,0.01,0.7853136856611068,0.8750233743909145,0.8159722222222222,0.7374634404074062
82,Fine_tuning,Optimal,StepLR,3,0.01,0.8598257749302025,0.5526329661560891,0.86489898989899,0.5399046338191538
83,Fine_tuning,Optimal,StepLR,4,0.01,0.895039909800272,0.41065587318099744,0.8803661616161617,0.4498034416500366
84,Fine_tuning,Optimal,StepLR,5,0.001,0.9136089286992627,0.3317938399171725,0.9032512626262627,0.3812555436966847
85,Fine_tuning,Optimal,StepLR,6,0.001,0.9344128069296299,0.2632140656811181,0.9116161616161617,0.34234958251166825
86,Fine_tuning,Optimal,StepLR,7,0.001,0.9389160820388002,0.24844783612864507,0.9111426767676768,0.33932900135264255
87,Fine_tuning,Optimal,StepLR,8,0.001,0.9387729078674207,0.24668283239983055,0.9108270202020202,0.33585379852188957
88,Fine_tuning,Optimal,StepLR,9,0.001,0.9411061994416208,0.2429355821494973,0.912405303030303,0.3306106429998622
89,Fine_tuning,Optimal,StepLR,10,0.0001,0.9427437540267736,0.2370370200074656,0.912405303030303,0.3297281576828523
90,Fine_tuning,Optimal,StepLR,11,0.0001,0.941710215477128,0.2372257671924918,0.913510101010101,0.32858974610765773
91,Fine_tuning,Optimal,StepLR,12,0.0001,0.943344414417639,0.23027524823835324,0.9138257575757576,0.32824126345039617
92,Fine_tuning,Optimal,StepLR,13,0.0001,0.9441699029994989,0.22901572033307438,0.9144570707070707,0.3273693787479641
93,Fine_tuning,Optimal,StepLR,14,0.0001,0.9427370427374901,0.23311501132999446,0.9142992424242424,0.32703342849407535
94,Fine_tuning,Optimal,StepLR,15,1e-05,0.9456128301954327,0.23034445072756063,0.914614898989899,0.32665622512800524
95,Fine_tuning,Optimal,StepLR,16,1e-05,0.9444394731190493,0.22850125608355717,0.914614898989899,0.32655735238633976
96,Fine_tuning,Optimal,StepLR,17,1e-05,0.9438421683728255,0.22856965784682978,0.914614898989899,0.3267309343574023
97,Fine_tuning,Optimal,StepLR,18,1e-05,0.9421296710573414,0.22995932196881053,0.9149305555555556,0.3266071475515462
98,Fine_tuning,Optimal,StepLR,19,1e-05,0.9439070441692319,0.22832380809442965,0.9142992424242424,0.32621971980640385
99,Fine_tuning,Optimal,StepLR,20,1.0000000000000002e-06,0.9439036885245902,0.22739574685692787,0.9141414141414141,0.3266547872035792
100,Fine_tuning,Bad,StepLR,1,0.01,0.32429844656024054,2.558845777699,0.5607638888888888,1.83509185157641
101,Fine_tuning,Bad,StepLR,2,0.01,0.6897013028849596,1.249313043454849,0.6927083333333334,1.1707946643082783
102,Fine_tuning,Bad,StepLR,3,0.01,0.7841470398740067,0.8371165030387812,0.7825126262626263,0.8157147357259134
103,Fine_tuning,Bad,StepLR,4,0.01,0.8268733445486434,0.6543426826010625,0.8494318181818182,0.5726292274817072
104,Fine_tuning,Bad,StepLR,5,0.001,0.8555137715656096,0.5407386465754571,0.8764204545454546,0.49962576012117693
105,Fine_tuning,Bad,StepLR,6,0.001,0.8749149903357435,0.4635416466466204,0.8737373737373737,0.4719208749105232
106,Fine_tuning,Bad,StepLR,7,0.001,0.8796263154126995,0.45345177081734855,0.8770517676767676,0.4670266473872794
107,Fine_tuning,Bad,StepLR,8,0.001,0.8815949602691674,0.44190122883392735,0.8792613636363636,0.4528197240686477
108,Fine_tuning,Bad,StepLR,9,0.001,0.8819327618297659,0.43334896433041087,0.882260101010101,0.44618005574577385
109,Fine_tuning,Bad,StepLR,10,0.0001,0.8867089627031283,0.42933032202928867,0.8852588383838383,0.43399062942751127
110,Fine_tuning,Bad,StepLR,11,0.0001,0.8869852441119622,0.42364668325565785,0.8839962121212122,0.43810168061066757
111,Fine_tuning,Bad,StepLR,12,0.0001,0.8870434086190851,0.41880685767752635,0.8841540404040404,0.43778760430186686
112,Fine_tuning,Bad,StepLR,13,0.0001,0.8873912771136087,0.4195695741988686,0.8832070707070707,0.4376769341114495
113,Fine_tuning,Bad,StepLR,14,0.0001,0.8867738384995347,0.4202116959154866,0.884469696969697,0.4380868448113853
114,Fine_tuning,Bad,StepLR,15,1e-05,0.8894583542129,0.41661138442145684,0.8849431818181818,0.4369750176979737
115,Fine_tuning,Bad,StepLR,16,1e-05,0.8889639559023552,0.41608071463857677,0.8841540404040404,0.43742233527955987
116,Fine_tuning,Bad,StepLR,17,1e-05,0.8912223047462238,0.41107503464648815,0.884469696969697,0.43728448326388997
117,Fine_tuning,Bad,StepLR,18,1e-05,0.8867906167227433,0.41848165948578364,0.884469696969697,0.4366454440686438
118,Fine_tuning,Bad,StepLR,19,1e-05,0.8864393925835778,0.41241773787284003,0.8846275252525253,0.43655277414228577
119,Fine_tuning,Bad,StepLR,20,1.0000000000000002e-06,0.8888274930202591,0.41911294874145477,0.88510101010101,0.43648377243391795
120,Fine_tuning,Very bad,StepLR,1,0.01,0.19369787565323215,2.885756616509117,0.20959595959595959,2.819111821627376
121,Fine_tuning,Very bad,StepLR,2,0.01,0.43584007445056916,2.100064599357838,0.4965277777777778,1.9623503883679707
122,Fine_tuning,Very bad,StepLR,3,0.01,0.5670457799412986,1.5920893198538035,0.5544507575757576,1.7500055850756289
123,Fine_tuning,Very bad,StepLR,4,0.01,0.645473906507266,1.3182131757382223,0.6161616161616161,1.429333539322169
124,Fine_tuning,Very bad,StepLR,5,0.001,0.6851879608418641,1.151756858981853,0.6619318181818182,1.2735139571055016
125,Fine_tuning,Very bad,StepLR,6,0.001,0.7238103121196936,1.0172764828111407,0.6963383838383839,1.1505605811723556
126,Fine_tuning,Very bad,StepLR,7,0.001,0.7310428448707853,0.9983349957840932,0.6909722222222222,1.1432704320459655
127,Fine_tuning,Very bad,StepLR,8,0.001,0.7314936198009879,0.9858621418736387,0.6922348484848485,1.1333462337050775
128,Fine_tuning,Very bad,StepLR,9,0.001,0.7339253436180113,0.9681962991385481,0.7105429292929293,1.0956948242253728
129,Fine_tuning,Very bad,StepLR,10,0.0001,0.7406120248407188,0.9532826118594174,0.7069128787878788,1.0980909437392696
130,Fine_tuning,Very bad,StepLR,11,0.0001,0.7427685857971222,0.9541476845220708,0.7070707070707071,1.0881229052037904
131,Fine_tuning,Very bad,StepLR,12,0.0001,0.7451868870355788,0.9403678329750961,0.7099116161616161,1.082105696502358
132,Fine_tuning,Very bad,StepLR,13,0.0001,0.7429251825470685,0.9502839620456945,0.7097537878787878,1.0836031689035772
133,Fine_tuning,Very bad,StepLR,14,0.0001,0.7465895464958122,0.9356116046030969,0.7091224747474747,1.083716489449896
134,Fine_tuning,Very bad,StepLR,15,1e-05,0.7412261078101511,0.9393840913689293,0.7089646464646465,1.0824879683328397
135,Fine_tuning,Very bad,StepLR,16,1e-05,0.7482606575273821,0.9327806231756919,0.70864898989899,1.0825078795203056
136,Fine_tuning,Very bad,StepLR,17,1e-05,0.7446723548571837,0.9410881832176942,0.710385101010101,1.0822564502707634
137,Fine_tuning,Very bad,StepLR,18,1e-05,0.7433960913451213,0.9352028550799757,0.7102272727272727,1.0785590937041274
138,Fine_tuning,Very bad,StepLR,19,1e-05,0.7434609671415277,0.9326785313510478,0.7118055555555556,1.0792914468682173
139,Fine_tuning,Very bad,StepLR,20,1.0000000000000002e-06,0.7418502577135085,0.9478574002153488,0.7118055555555556,1.0789621948744312
